name,url,pic_url,release,avg_rating,n_ratings,playability,components,writing,art_direction,replayability,publisher,genre,type,theme,scale,proportion,mechanic,playtime,age_rating,min_players,max_players,status,br_score
A Game of Thrones Card Game,https://www.beastsofwar.com/game/game-of-thrones-card-game/,https://www.beastsofwar.com/game/game-of-thrones-card-game/,2008,7.5,5,7.5,7.5,5,10,7,Fantasy Flight Games,Fantasy,Card Game,,,,,60,14,2,4,,4.679513001
A Game of Thrones Catan: Brotherhood of the Watch,https://www.beastsofwar.com/game/a-game-of-thrones-catan-brotherhood-of-the-watch/,https://www.beastsofwar.com/game/a-game-of-thrones-catan-brotherhood-of-the-watch/,,0,1,0,0,0,0,0,,,,,,,,,,,,,1.022088992
A Game of Thrones The Board Game,https://www.beastsofwar.com/game/a-game-of-thrones-board-game/,https://www.beastsofwar.com/game/a-game-of-thrones-board-game/,2011,7.4,15,8.3,7.7,5.3,9.3,6,Fantasy Flight Games,Fantasy,Board Game,,,,,180,14,3,6,,6.075094894
A Game Of Thrones: Hand Of The King,https://www.beastsofwar.com/game/a-game-of-thrones-hand-of-the-king/,https://www.beastsofwar.com/game/a-game-of-thrones-hand-of-the-king/,2016,0,3,0,0,0,0,0,Fantasy Flight Games,Fantasy,Card Game,,,,,15,14,2,4,,0.735600734
A Game of Thrones: The Card Game,https://www.beastsofwar.com/game/a-game-of-thrones-the-card-game/,https://www.beastsofwar.com/game/a-game-of-thrones-the-card-game/,,0,3,0,0,0,0,0,Fantasy Flight Games,Fantasy,Card Game,,,,,,14,2,4,In Production,0.735600734
A Song Of Ice & Fire RPG,https://www.beastsofwar.com/game/a-song-of-ice-fire-rpg/,https://www.beastsofwar.com/game/a-song-of-ice-fire-rpg/,2009,0,3,0,0,0,0,0,Green Ronin Publishing,Fantasy,Role-playing Game,,,,,,,,,,0.735600734
A Song of Ice & Fire: Tabletop Miniatures Game,https://www.beastsofwar.com/game/a-song-of-ice-fire/,https://www.beastsofwar.com/game/a-song-of-ice-fire/,2018,8.7,87,9.3,9.3,7,9,9,CMON,Fantasy,Miniature War Game,,32mm,,,60,14,2,,,8.362827321
A Thief's Fortune,https://www.beastsofwar.com/game/a-thiefs-fortune/,https://www.beastsofwar.com/game/a-thiefs-fortune/,,0,0,0,0,0,0,0,,,Board Game,,,,,,,,,Crowd Funding,1.269251337
A'Writhe: A Game of Eldritch Contortions,https://www.beastsofwar.com/game/awrithe-a-game-of-eldritch-contortions/,https://www.beastsofwar.com/game/awrithe-a-game-of-eldritch-contortions/,,0,0,0,0,0,0,0,,,,,,,,,,,,,1.269251337
Abandon Ship,https://www.beastsofwar.com/game/abandon-ship/,https://www.beastsofwar.com/game/abandon-ship/,2009,0,0,0,0,0,0,0,AEG Alderac Entertainment Group,Family,Board Game,,,,,30,10,3,7,,1.269251337
Abomination: The Heir of Frankenstein,https://www.beastsofwar.com/game/abomination-the-heir-of-frankenstein/,https://www.beastsofwar.com/game/abomination-the-heir-of-frankenstein/,2019,0,0,0,0,0,0,0,Plaid Hat Games,Horror,Board Game,,,,,120,13,2,4,In Production,1.269251337
Achtung! Cthulhu,https://www.beastsofwar.com/game/achtung-cthulhu/,https://www.beastsofwar.com/game/achtung-cthulhu/,2016,0,1,0,0,0,0,0,Modiphius Entertainment,Pulp,Miniature War Game,,28mm,,,,,2,,,1.022088992
Across the Dead Earth,https://www.beastsofwar.com/game/across-the-dead-earth/,https://www.beastsofwar.com/game/across-the-dead-earth/,TBA,0,2,0,0,0,0,0,Dead Earth Games,Post-Apocalyptic,Miniature War Game,,28mm,,,45,13,2,,,0.855497306
Adeptus Titanicus,https://www.beastsofwar.com/game/adeptus-titanicus/,https://www.beastsofwar.com/game/adeptus-titanicus/,,8.7,25,9.2,9.4,7.4,9.4,8,Games Workshop,,,,,,,,,,,,7.645322772
Adventure Games: Das Verlies,https://www.beastsofwar.com/game/adventure-games-das-verlies/,https://www.beastsofwar.com/game/adventure-games-das-verlies/,2019,0,0,0,0,0,0,0,Thames and Kosmos,,Board Game,,,,,75,16,1,4,In Development,1.269251337
Adventure Games: Die Monochrome AG,https://www.beastsofwar.com/game/adventure-games-die-monochrome-ag/,https://www.beastsofwar.com/game/adventure-games-die-monochrome-ag/,2019,0,0,0,0,0,0,0,Thames and Kosmos,,Board Game,,,,,75,16,1,4,In Development,1.269251337
Adventures In Middle-Earth,https://www.beastsofwar.com/game/adventures-in-middle-earth/,https://www.beastsofwar.com/game/adventures-in-middle-earth/,2016,0,1,0,0,0,0,0,Cubicle 7 Entertainment,Fantasy,Role-playing Game,,,,,,,,,,1.022088992
Aegon's Conquest,https://www.beastsofwar.com/game/aegons-conquest/,https://www.beastsofwar.com/game/aegons-conquest/,,0,0,0,0,0,0,0,Defy Danger,Fantasy,Role-playing Game,,,,,,,,,In Production,1.269251337
Aeons End (Digital),https://www.beastsofwar.com/game/aeons-end-digital/,https://www.beastsofwar.com/game/aeons-end-digital/,2019,0,0,0,0,0,0,0,Handelabra Games,Fantasy,Video Game,,,,,,,1,1,Crowd Funding,1.269251337
Aerion,https://www.beastsofwar.com/game/aerion/,https://www.beastsofwar.com/game/aerion/,2019,0,0,0,0,0,0,0,Z-Man Games,Fantasy,Board Game,,,,,15,10,1,2,In Production,1.269251337
Aeronautica Imperialis,https://www.beastsofwar.com/game/aeronautica-imperialis/,https://www.beastsofwar.com/game/aeronautica-imperialis/,2019,7.2,14,6.2,9.6,5.4,8.1,6,Games Workshop,Science Fiction,Miniature War Game,,,Heroic,,60,12,2,2,In Development,5.847643104
Aeronef,https://www.beastsofwar.com/game/aeronef/,https://www.beastsofwar.com/game/aeronef/,1999,0,2,0,0,0,0,0,Wessex Games,Post-Apocalyptic,Miniature War Game,,0.875,Heroic,,,,,,,0.855497306
Aether Captains,https://www.beastsofwar.com/game/aether-captains/,https://www.beastsofwar.com/game/aether-captains/,2010,0,0,0,0,0,0,0,MAGE Company,Post-Apocalyptic,Board Game,,,,,30,13,1,6,,1.269251337
Aether Void,https://www.beastsofwar.com/game/aether-void/,https://www.beastsofwar.com/game/aether-void/,,0,0,0,0,0,0,0,MBIT Entertainment,"Cyberpunk, Science Fiction",Role-playing Game,,,,,,,,,In Development,1.269251337
Aetherium,https://www.beastsofwar.com/game/aetherium/,https://www.beastsofwar.com/game/aetherium/,2014,0,1,0,0,0,0,0,Anvil Eight games,Science Fiction,Miniature War Game,,32mm,,,60,12,2,2,,1.022088992
Aethersteel,https://www.beastsofwar.com/game/aethersteel/,https://www.beastsofwar.com/game/aethersteel/,TBA,0,0,0,0,0,0,0,Self-Published,Science Fiction,Miniature War Game,,28mm,,,,,,,,1.269251337
After The Virus,https://www.beastsofwar.com/game/after-the-virus/,https://www.beastsofwar.com/game/after-the-virus/,2017,0,1,0,0,0,0,0,FryxGames,Post-Apocalyptic,Card Game,,,,,60,10,1,3,In Production,1.022088992
Afterglow,https://www.beastsofwar.com/game/afterglow/,https://www.beastsofwar.com/game/afterglow/,2014,0,1,0,0,0,0,0,White Tree,Weird,Miniature War Game,,32mm,Heroic,,40,,2,,In Production,1.022088992
AFTERLIFE: The Shards of Liberty,https://www.beastsofwar.com/game/afterlife-the-shards-of-liberty/,https://www.beastsofwar.com/game/afterlife-the-shards-of-liberty/,TBA,7.7,6,5,9.2,9.2,9.2,5,Anvil Industry,Science Fiction,Miniature War Game,,28mm,Heroic,,,,,,Crowd Funding,5.076194829
Afterlife: Wandering Souls,https://www.beastsofwar.com/game/afterlife-wandering-souls/,https://www.beastsofwar.com/game/afterlife-wandering-souls/,2019,0,0,0,0,0,0,0,Angry Hamster Publishing,"Fantasy, Weird",Role-playing Game,,,,,,,,,Crowd Funding,1.269251337
Aftermath,https://www.beastsofwar.com/game/aftermath/,https://www.beastsofwar.com/game/aftermath/,2019,0,0,0,0,0,0,0,Plaid Hat Games,Survival,Board Game,,,,,90,14,2,4,In Development,1.269251337
Aftershock,https://www.beastsofwar.com/game/aftershock-2/,https://www.beastsofwar.com/game/aftershock-2/,2019,0,0,0,0,0,0,0,Stronghold Games,Strategy,,,,,,60,14,3,5,In Development,1.269251337
Aftershock,https://www.beastsofwar.com/game/aftershock/,https://www.beastsofwar.com/game/aftershock/,2019,0,0,0,0,0,0,0,Stronghold Games,,Board Game,,,,,60,14,2,5,In Development,1.269251337
Agatha Christie: Death on the Cards,https://www.beastsofwar.com/game/agatha-christie-death-on-the-cards/,https://www.beastsofwar.com/game/agatha-christie-death-on-the-cards/,2019,0,0,0,0,0,0,0,Modiphius Entertainment,Murder & Mystery,Card Game,,,,,,,2,6,In Development,1.269251337
Agatha Christie's Death On The Cards,https://www.beastsofwar.com/game/agatha-christies-death-on-the-cards/,https://www.beastsofwar.com/game/agatha-christies-death-on-the-cards/,2019,0,0,0,0,0,0,0,Modiphius Entertainment,"Family, Murder & Mystery",Card Game,,,,,40,12,2,6,In Production,1.269251337
Age of Conan,https://www.beastsofwar.com/game/age-of-conan/,https://www.beastsofwar.com/game/age-of-conan/,2009,7.7,6,7.5,9.2,5.8,10,5,Ares Games,Fantasy,Board Game,,,Heroic,,90,12,2,4,,5.076194829
Age Of Dirt,https://www.beastsofwar.com/game/age-of-dirt/,https://www.beastsofwar.com/game/age-of-dirt/,2019,0,0,0,0,0,0,0,WizKids,Historical,Board Game,,,,,45,14,2,5,In Production,1.269251337
Age Of Fantasy,https://www.beastsofwar.com/game/age-of-fantasy/,https://www.beastsofwar.com/game/age-of-fantasy/,2019,0,0,0,0,0,0,0,One Page Rules,Fantasy,Miniature War Game,,28mm,Heroic,,60,12,2,4,In Production,1.269251337
Age Of Sigmar Roleplaying Game,https://www.beastsofwar.com/game/age-of-sigmar-roleplaying-game/,https://www.beastsofwar.com/game/age-of-sigmar-roleplaying-game/,2019,0,0,0,0,0,0,0,Cubicle 7 Entertainment,Fantasy,Role-playing Game,,,,,,,,,In Development,1.269251337
Age of Steam: Deluxe Edition,https://www.beastsofwar.com/game/age-of-steam-deluxe-edition/,https://www.beastsofwar.com/game/age-of-steam-deluxe-edition/,2019,0,0,0,0,0,0,0,Eagle-Gryphon Games,Strategy,Board Game,,,,,120,10,2,6,Crowd Funding,1.269251337
Age of Tyrants,https://www.beastsofwar.com/game/age-of-tyrants/,https://www.beastsofwar.com/game/age-of-tyrants/,2016,0,0,0,0,0,0,0,Self-Published,Science Fiction,Miniature War Game,,6mm,,,,,2,,In Production,1.269251337
Age of War,https://www.beastsofwar.com/game/age-of-war/,https://www.beastsofwar.com/game/age-of-war/,2014,0,0,0,0,0,0,0,Fantasy Flight Games,Historical,Board Game,,,,,15,14,2,6,,1.269251337
Agents Of Concordia,https://www.beastsofwar.com/game/agents-of-concordia/,https://www.beastsofwar.com/game/agents-of-concordia/,2020,0,0,0,0,0,0,0,Modiphius Entertainment,Fantasy,Role-playing Game,,,,,360,12,2,5,In Production,1.269251337
Air Flix,https://www.beastsofwar.com/game/air-flix/,https://www.beastsofwar.com/game/air-flix/,TBA,0,0,0,0,0,0,0,Dice Sports,Historical,Miniature War Game,,,,,,,2,,Crowd Funding,1.269251337
"Air, Land & Sea",https://www.beastsofwar.com/game/air-land-sea/,https://www.beastsofwar.com/game/air-land-sea/,2019,0,0,0,0,0,0,0,Arcane Wonders,Strategy,Board Game,,,,,30,14,2,2,In Production,1.269251337
Airfix Battles,https://www.beastsofwar.com/game/airfix-battles/,https://www.beastsofwar.com/game/airfix-battles/,2016,0,1,0,0,0,0,0,Modiphius Entertainment,Historical,Miniature War Game,,,,,30,10,1,4,,1.022088992
AirMech,https://www.beastsofwar.com/game/airmech/,https://www.beastsofwar.com/game/airmech/,TBA,0,1,0,0,0,0,0,Stuntkite Publishing,Science Fiction,Miniature War Game,,,,,,,,,,1.022088992
Albedo Combat Patrol,https://www.beastsofwar.com/game/albedo-combat-patrol/,https://www.beastsofwar.com/game/albedo-combat-patrol/,2018,0,2,0,0,0,0,0,Sally 4th,Science Fiction,Miniature War Game,,28mm,Heroic,,,,2,,Crowd Funding,0.855497306
Albion's Legacy,https://www.beastsofwar.com/game/albions-legacy/,https://www.beastsofwar.com/game/albions-legacy/,2015,0,3,0,0,0,0,0,Lynnvander,Fantasy,Board Game,,,,,90,14,1,6,,0.735600734
Alien Vs Predator,https://www.beastsofwar.com/game/alien-vs-predator/,https://www.beastsofwar.com/game/alien-vs-predator/,2015,6.7,15,4.3,9.6,5.4,9.3,5,Prodos Games,Science Fiction,Miniature War Game,,32mm,Heroic,,60,12,1,3,,5.526370639
ALIEN: The Role-Playing Game,https://www.beastsofwar.com/game/alien-the-role-playing-game/,https://www.beastsofwar.com/game/alien-the-role-playing-game/,2019,0,1,0,0,0,0,0,Free League Publishing,Science Fiction,Role-playing Game,,,,,240,14,2,5,In Development,1.022088992
Alkemy,https://www.beastsofwar.com/game/alkemy/,https://www.beastsofwar.com/game/alkemy/,2008,0,3,0,0,0,0,0,Alchemist Miniatures,Fantasy,Miniature War Game,,28mm,TRUE,,45,12,2,,,0.735600734
All Quiet On The Martian Front,https://www.beastsofwar.com/game/all-quiet-on-the-martian-front/,https://www.beastsofwar.com/game/all-quiet-on-the-martian-front/,2014,0,0,0,0,0,0,0,Ironclad Games,Science Fiction,Miniature War Game,,15mm,Heroic,,,12,2,,,1.269251337
Allegiance: A Realm Divided,https://www.beastsofwar.com/game/allegiance-a-realm-divided/,https://www.beastsofwar.com/game/allegiance-a-realm-divided/,2015,0,1,0,0,0,0,0,Underground Games,Fantasy,Card Game,,,,,30,10,2,4,,1.022088992
Alone,https://www.beastsofwar.com/game/alone/,https://www.beastsofwar.com/game/alone/,2018,0,1,0,0,0,0,0,Horrible Games,Science Fiction,Board Game,,,,,60,13,2,4,,1.022088992
Alquerque,https://www.beastsofwar.com/game/alquerque/,https://www.beastsofwar.com/game/alquerque/,,0,0,0,0,0,0,0,,Strategy,Board Game,,,,,15,,2,2,,1.269251337
Altar Quest,https://www.beastsofwar.com/game/altar-quest/,https://www.beastsofwar.com/game/altar-quest/,2020,0,0,0,0,0,0,0,Blacklist Games,Fantasy,Board Game,,,,,90,14,1,4,Crowd Funding,1.269251337
Altered Carbon,https://www.beastsofwar.com/game/altered-carbon/,https://www.beastsofwar.com/game/altered-carbon/,2020,0,0,0,0,0,0,0,Hunters Entertainment,Cyberpunk,Role-playing Game,,,,,360,14,2,5,Crowd Funding,1.269251337
Alternative Civil War (ACW): 1861,https://www.beastsofwar.com/game/acw-1861/,https://www.beastsofwar.com/game/acw-1861/,2015,0,0,0,0,0,0,0,Ghost Train Games,"Pulp, Weird, Western",Miniature War Game,,28mm,TRUE,,,,2,,Out of Production,1.269251337
Altiplano: The Traveler,https://www.beastsofwar.com/game/altiplano-the-traveler/,https://www.beastsofwar.com/game/altiplano-the-traveler/,,0,0,0,0,0,0,0,,,,,,,,,,,,,1.269251337
Ambush: Epic,https://www.beastsofwar.com/game/ambush-epic/,https://www.beastsofwar.com/game/ambush-epic/,2020,0,0,0,0,0,0,0,DarkDoors Entertainment,Fantasy,Board Game,,,,,90,12,2,4,Crowd Funding,1.269251337
Among Thieves,https://www.beastsofwar.com/game/among-thieves/,https://www.beastsofwar.com/game/among-thieves/,2019,0,0,0,0,0,0,0,Indie Board and Cards,Party,Board Game,,,,,45,14,3,8,In Production,1.269251337
Anachrony: Fractures Of Time,https://www.beastsofwar.com/game/anachrony-fractures-of-time/,https://www.beastsofwar.com/game/anachrony-fractures-of-time/,2019,0,0,0,0,0,0,0,Mindclash Games,Post-Apocalyptic,Board Game,,,,,150,15,1,4,Crowd Funding,1.269251337
Ancient Terrible Things,https://www.beastsofwar.com/game/ancient-terrible-things/,https://www.beastsofwar.com/game/ancient-terrible-things/,2014,0,0,0,0,0,0,0,Pleasant Company Games,"Horror, Pulp",Board Game,,,,,60,14,2,4,In Production,1.269251337
Ancient Terrible Things: The Lost Charter,https://www.beastsofwar.com/game/ancient-terrible-things-the-lost-charter/,https://www.beastsofwar.com/game/ancient-terrible-things-the-lost-charter/,2015,0,0,0,0,0,0,0,Pleasant Company Games,"Horror, Pulp",Board Game,,,,,60,,1,5,In Production,1.269251337
Ancient Terrible Things: The Madness of McGuffin,https://www.beastsofwar.com/game/ancient-terrible-things-the-madness-of-mcguffin/,https://www.beastsofwar.com/game/ancient-terrible-things-the-madness-of-mcguffin/,2017,0,0,0,0,0,0,0,Pleasant Company Games,"Horror, Pulp",Board Game,,,,,60,14,2,5,In Production,1.269251337
Andor Junior,https://www.beastsofwar.com/game/andor-junior/,https://www.beastsofwar.com/game/andor-junior/,2020,0,0,0,0,0,0,0,"KOSMOS, Thames and Kosmos","Childrens, Fantasy",Board Game,,,,,45,7,2,4,In Development,1.269251337
Android: Mainframe,https://www.beastsofwar.com/game/android-mainframe/,https://www.beastsofwar.com/game/android-mainframe/,2016,0,2,0,0,0,0,0,Fantasy Flight Games,Science Fiction,Board Game,,,,,15,12,2,4,,0.855497306
Android: Netrunner,https://www.beastsofwar.com/game/android-netrunner/,https://www.beastsofwar.com/game/android-netrunner/,2012,8.1,7,5.7,9.3,7.9,10,7,Fantasy Flight Games,Science Fiction,Card Game,,,,,45,14,2,2,,5.563277174
Angry Sheep,https://www.beastsofwar.com/game/angry-sheep/,https://www.beastsofwar.com/game/angry-sheep/,2014,0,0,0,0,0,0,0,Iron Box Games,Humour,Board Game,,,,,20,12,2,4,,1.269251337
Anima Tactics,https://www.beastsofwar.com/game/anima-tactics/,https://www.beastsofwar.com/game/anima-tactics/,2006,0,2,0,0,0,0,0,Cipher Studios,Fantasy,Miniature War Game,,32mm,Heroic,,60,12,2,,,0.855497306
Animal Ailments,https://www.beastsofwar.com/game/animal-ailments/,https://www.beastsofwar.com/game/animal-ailments/,2017,0,0,0,0,0,0,0,Bazaar Bros.,Family,Card Game,,,,,30,8,3,20,,1.269251337
Animal Kingdoms,https://www.beastsofwar.com/game/animal-kingdoms/,https://www.beastsofwar.com/game/animal-kingdoms/,2019,0,0,0,0,0,0,0,Galactic Raptor Games,Strategy,Board Game,,,,,45,8,1,5,Crowd Funding,1.269251337
Ankh: Gods of Egypt,https://www.beastsofwar.com/game/ankh-gods-of-egypt/,https://www.beastsofwar.com/game/ankh-gods-of-egypt/,2020,0,0,0,0,0,0,0,CMON,"Fantasy, Strategy",Board Game,,32mm,Heroic,,,,2,5,In Development,1.269251337
Anno Domini: 1666,https://www.beastsofwar.com/game/anno-domini-1666/,https://www.beastsofwar.com/game/anno-domini-1666/,2019,0,0,0,0,0,0,0,,"Fantasy, Historical",,,32mm,Heroic,,120,14,2,4,Crowd Funding,1.269251337
Antinomy,https://www.beastsofwar.com/game/antinomy/,https://www.beastsofwar.com/game/antinomy/,2019,0,0,0,0,0,0,0,Button Shy,Fantasy,Card Game,,,,,,,2,2,Crowd Funding,1.269251337
Aqua Mirabilis,https://www.beastsofwar.com/game/aqua-mirabilis/,https://www.beastsofwar.com/game/aqua-mirabilis/,2019,0,0,0,0,0,0,0,Gotha Games,Historical,Board Game,,,,,120,14,2,4,In Production,1.269251337
Arcadia Quest,https://www.beastsofwar.com/game/arcadia-quest/,https://www.beastsofwar.com/game/arcadia-quest/,2014,8.6,10,9.5,9.5,6,9.5,8,CMON,Fantasy,Board Game,,,,,60,13,2,4,,6.45538231
Arcadia Quest Inferno,https://www.beastsofwar.com/game/arcadia-quest-inferno/,https://www.beastsofwar.com/game/arcadia-quest-inferno/,2017,0,3,0,0,0,0,0,CMON,Fantasy,Board Game,,,,,60,13,2,4,In Production,0.735600734
Arcane Legions,https://www.beastsofwar.com/game/arcane-legions/,https://www.beastsofwar.com/game/arcane-legions/,2009,0,1,0,0,0,0,0,Wells Expeditions,Fantasy,Miniature War Game,,,,,60,10,2,6,In Production,1.022088992
Archer: The Danger Zone,https://www.beastsofwar.com/game/archer-the-danger-zone/,https://www.beastsofwar.com/game/archer-the-danger-zone/,2014,0,0,0,0,0,0,0,Cryptozoic Entertainment,Humour,Board Game,,,,,40,15,3,8,In Production,1.269251337
Architects of the West Kingdom,https://www.beastsofwar.com/game/architects-of-the-west-kingdom/,https://www.beastsofwar.com/game/architects-of-the-west-kingdom/,2018,0,1,0,0,0,0,0,Renegade Game Studios,Fantasy,Board Game,,,,,80,12,1,5,In Production,1.022088992
Architectura,https://www.beastsofwar.com/game/architectura/,https://www.beastsofwar.com/game/architectura/,2019,0,0,0,0,0,0,0,Arcane Wonders,Fantasy,Board Game,,,,,45,8,2,4,In Production,1.269251337
ArcWorlde,https://www.beastsofwar.com/game/arcworlde/,https://www.beastsofwar.com/game/arcworlde/,2013,9.4,5,10,9,10,9,9,Warploque Miniatures,Fantasy,Miniature War Game,,28mm,Heroic,,,,2,,,5.719435731
Arena Deathmatch,https://www.beastsofwar.com/game/arena-deathmatch/,https://www.beastsofwar.com/game/arena-deathmatch/,2008,0,0,0,0,0,0,0,Avatars of War,Fantasy,Miniature War Game,,28mm,Heroic,,60,12,2,8,,1.269251337
Arena Rex,https://www.beastsofwar.com/game/arena-rex/,https://www.beastsofwar.com/game/arena-rex/,2013,7.5,10,8,9.5,5.5,9,5,Red Republic Games,Fantasy,Miniature War Game,,30mm,Heroic,,30,12,2,4,,5.677188385
Aristeia!,https://www.beastsofwar.com/game/aristeia/,https://www.beastsofwar.com/game/aristeia/,2017,8.2,32,9.2,8.3,6.1,8.9,8,Corvus Belli,Science Fiction,Board Game,,,,,60,14,2,,,7.406850674
